<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDIDR,D,20220801,000000,14955.0000000,14955.0000000,14870.0000000,14870.0000000,30
USDIDR,D,20220802,000000,14870.0000000,14890.0000000,14870.0000000,14885.0000000,48
USDIDR,D,20220803,000000,14885.0000000,14920.5000000,14885.0000000,14915.0000000,38
USDIDR,D,20220804,000000,14915.0000000,14935.0000000,14915.0000000,14930.0000000,33
USDIDR,D,20220805,000000,14925.0000000,14925.0000000,14890.0000000,14900.0000000,46
USDIDR,D,20220807,000000,14900.0000000,14900.0000000,14900.0000000,14900.0000000,2
USDIDR,D,20220808,000000,14900.0000000,14928.5000000,14875.0000000,14910.0000000,34
USDIDR,D,20220809,000000,14910.0000000,14910.0000000,14850.0000000,14860.0000000,26
USDIDR,D,20220810,000000,14860.0000000,14876.5000000,14860.0000000,14870.0000000,36
USDIDR,D,20220811,000000,14870.0000000,14870.0000000,14765.0000000,14795.0000000,38
USDIDR,D,20220812,000000,14795.0000000,14795.0000000,14665.0000000,14685.0000000,42
USDIDR,D,20220815,000000,14685.0000000,14740.0000000,14685.0000000,14725.0000000,51
USDIDR,D,20220816,000000,14725.0000000,14765.0000000,14725.0000000,14765.0000000,45
USDIDR,D,20220817,000000,14765.0000000,14767.5000000,14760.0000000,14765.0000000,75
USDIDR,D,20220818,000000,14765.0000000,14831.0000000,14765.0000000,14820.0000000,32
USDIDR,D,20220819,000000,14820.0000000,14860.0000000,14820.0000000,14855.0000000,34
USDIDR,D,20220822,000000,14855.0000000,14885.0000000,14855.0000000,14880.0000000,37
USDIDR,D,20220823,000000,14880.0000000,14903.5000000,14835.0000000,14890.0000000,37
USDIDR,D,20220824,000000,14890.0000000,14890.0000000,14845.0000000,14848.0000000,44
USDIDR,D,20220825,000000,14848.0000000,14848.0000000,14820.0000000,14820.0000000,71
USDIDR,D,20220826,000000,14800.0000000,14825.0000000,14800.0000000,14815.0000000,67
USDIDR,D,20220828,000000,14810.0000000,14815.0000000,14810.0000000,14810.0000000,7
USDIDR,D,20220829,000000,14850.0000000,14900.0000000,14810.0000000,14885.0000000,101
USDIDR,D,20220830,000000,14875.0000000,14892.0000000,14835.0000000,14870.0000000,123
USDIDR,D,20220831,000000,14835.0000000,14870.0000000,14835.0000000,14850.0000000,128
USDIDR,D,20220901,000000,14880.0000000,14890.0000000,14850.0000000,14880.0000000,110
USDIDR,D,20220902,000000,14880.0000000,14905.0000000,14850.0000000,14895.0000000,143
USDIDR,D,20220905,000000,14895.0000000,14930.0000000,14880.0000000,14900.0000000,137
USDIDR,D,20220906,000000,14875.0000000,14895.0000000,14860.0000000,14885.0000000,138
USDIDR,D,20220907,000000,14880.0000000,14933.0000000,14880.0000000,14915.0000000,164
USDIDR,D,20220908,000000,14925.0000000,14925.0000000,14890.0000000,14895.0000000,142
USDIDR,D,20220909,000000,14895.0000000,14900.0000000,14815.0000000,14828.0000000,197
USDIDR,D,20220911,000000,14843.0000000,14843.0000000,14828.0000000,14828.0000000,8
USDIDR,D,20220912,000000,14843.0000000,14843.0000000,14810.0000000,14840.0000000,121
USDIDR,D,20220913,000000,14835.0000000,14872.0000000,14835.0000000,14850.0000000,147
USDIDR,D,20220914,000000,14920.0000000,14938.0000000,14858.0000000,14905.0000000,132
USDIDR,D,20220915,000000,14900.0000000,14920.0000000,14875.0000000,14895.0000000,138
USDIDR,D,20220916,000000,14895.0000000,14960.0000000,14895.0000000,14950.0000000,184
USDIDR,D,20220918,000000,14935.0000000,14950.0000000,14935.0000000,14935.0000000,9
USDIDR,D,20220919,000000,14950.0000000,14988.0000000,14935.0000000,14975.0000000,161
USDIDR,D,20220920,000000,14975.0000000,14985.0000000,14960.0000000,14970.0000000,153
USDIDR,D,20220921,000000,14980.0000000,15013.0000000,14970.0000000,15006.0000000,119
USDIDR,D,20220922,000000,14995.0000000,15040.0000000,14995.0000000,15030.0000000,123
USDIDR,D,20220923,000000,15015.0000000,15035.0000000,15000.0000000,15035.0000000,105
USDIDR,D,20220925,000000,15035.0000000,15035.0000000,15031.0000000,15035.0000000,7
USDIDR,D,20220926,000000,15031.0000000,15130.0000000,15031.0000000,15125.0000000,105
USDIDR,D,20220927,000000,15114.0000000,15169.0000000,15114.0000000,15120.0000000,105
USDIDR,D,20220928,000000,15150.0000000,15273.0000000,15120.0000000,15260.0000000,127
USDIDR,D,20220929,000000,15240.0000000,15275.0000000,15200.0000000,15260.0000000,147
USDIDR,D,20220930,000000,15150.0000000,15245.0000000,15150.0000000,15225.0000000,125
USDIDR,D,20221002,000000,15228.0000000,15228.0000000,15225.0000000,15225.0000000,4
USDIDR,D,20221003,000000,15230.0000000,15305.0000000,15228.0000000,15300.0000000,123
USDIDR,D,20221004,000000,15270.0000000,15310.0000000,15235.0000000,15245.0000000,145
USDIDR,D,20221005,000000,15245.0000000,15272.0000000,15150.0000000,15190.0000000,173
USDIDR,D,20221006,000000,15192.0000000,15202.0000000,15180.0000000,15185.0000000,134
USDIDR,D,20221007,000000,15210.0000000,15260.0000000,15195.0000000,15250.0000000,151
USDIDR,D,20221009,000000,15243.0000000,15250.0000000,15243.0000000,15250.0000000,3
USDIDR,D,20221010,000000,15243.0000000,15310.0000000,15243.0000000,15310.0000000,170
USDIDR,D,20221011,000000,15295.0000000,15370.0000000,15295.0000000,15355.0000000,162
USDIDR,D,20221012,000000,15365.0000000,15385.0000000,15350.0000000,15355.0000000,92
USDIDR,D,20221013,000000,15345.0000000,15370.0000000,15335.0000000,15360.0000000,106
USDIDR,D,20221014,000000,15355.0000000,15425.0000000,15355.0000000,15425.0000000,149
