<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDINR,D,20220801,000000,79.3350000,79.3350000,78.8750000,78.9670000,5172
USDINR,D,20220802,000000,78.9320000,78.9900000,78.3800000,78.5870000,3547
USDINR,D,20220803,000000,78.6060000,79.1980000,78.6050000,79.1060000,1163
USDINR,D,20220804,000000,79.0690000,79.8175000,79.0430000,79.1500000,5803
USDINR,D,20220805,000000,79.1500000,79.4690000,78.9130000,79.3500000,5254
USDINR,D,20220807,000000,79.3500000,79.3500000,79.3500000,79.3500000,2
USDINR,D,20220808,000000,79.3500000,79.6500000,79.3500000,79.5870000,2261
USDINR,D,20220809,000000,79.5870000,79.6625000,79.4790000,79.5660000,677
USDINR,D,20220810,000000,79.5300000,79.6600000,79.0010000,79.0930000,6554
USDINR,D,20220811,000000,79.0940000,79.6950000,79.0940000,79.5800000,6082
USDINR,D,20220812,000000,79.5800000,79.7450000,79.5800000,79.6200000,5294
USDINR,D,20220814,000000,79.6200000,79.6200000,79.6200000,79.6200000,6
USDINR,D,20220815,000000,79.6430000,79.6475000,79.4400000,79.5480000,890
USDINR,D,20220816,000000,79.5370000,79.5980000,79.1500000,79.1500000,1459
USDINR,D,20220817,000000,79.2400000,79.5040000,79.1410000,79.3500000,5508
USDINR,D,20220818,000000,79.3760000,79.7700000,79.3560000,79.7300000,4820
USDINR,D,20220819,000000,79.7300000,79.9200000,79.6725000,79.9100000,5133
USDINR,D,20220821,000000,79.9100000,79.9100000,79.9100000,79.9100000,4
USDINR,D,20220822,000000,79.8760000,79.9200000,79.7675000,79.8500000,2237
USDINR,D,20220823,000000,79.8500000,79.9050000,79.6650000,79.8490000,2235
USDINR,D,20220824,000000,79.8470000,79.8820000,79.6950000,79.7920000,3166
USDINR,D,20220825,000000,79.7710000,79.9940000,79.7380000,79.8780000,5187
USDINR,D,20220826,000000,79.8750000,79.9660000,79.6880000,79.9640000,2998
USDINR,D,20220828,000000,79.9640000,79.9640000,79.9640000,79.9640000,3
USDINR,D,20220829,000000,79.9610000,80.1300000,79.8650000,79.9400000,2985
USDINR,D,20220830,000000,79.9240000,79.9670000,79.4040000,79.6780000,8166
USDINR,D,20220831,000000,79.6650000,79.6970000,79.3970000,79.5400000,1072
USDINR,D,20220901,000000,79.5000000,79.7260000,79.2730000,79.7120000,7853
USDINR,D,20220902,000000,79.7120000,79.8830000,79.5550000,79.7170000,4109
USDINR,D,20220905,000000,79.7170000,79.9050000,79.7170000,79.7880000,4562
USDINR,D,20220906,000000,79.7770000,79.9070000,79.7180000,79.8870000,5409
USDINR,D,20220907,000000,79.8870000,79.9470000,79.5820000,79.6170000,5710
USDINR,D,20220908,000000,79.6300000,79.8350000,79.6260000,79.6970000,6905
USDINR,D,20220909,000000,79.6970000,79.7350000,79.4340000,79.6480000,5930
USDINR,D,20220911,000000,79.6480000,79.6480000,79.6480000,79.6480000,2
USDINR,D,20220912,000000,79.6480000,79.7200000,79.2730000,79.3130000,6090
USDINR,D,20220913,000000,79.3130000,79.6070000,78.9980000,79.5770000,6755
USDINR,D,20220914,000000,79.5770000,79.6000000,79.3680000,79.4440000,3789
USDINR,D,20220915,000000,79.4310000,79.8500000,79.4280000,79.8300000,6914
USDINR,D,20220916,000000,79.8300000,79.8580000,79.5660000,79.6560000,5744
USDINR,D,20220918,000000,79.6560000,79.6560000,79.6560000,79.6560000,4
USDINR,D,20220919,000000,79.6560000,79.8180000,79.5690000,79.6860000,6093
USDINR,D,20220920,000000,79.6860000,79.7725000,79.5750000,79.7350000,5645
USDINR,D,20220921,000000,79.7630000,80.0560000,79.7500000,79.9230000,6400
USDINR,D,20220922,000000,80.2060000,81.1300000,80.1770000,81.0400000,7548
USDINR,D,20220923,000000,81.0400000,81.2660000,80.7700000,81.2500000,2755
USDINR,D,20220925,000000,81.2500000,81.2500000,81.2500000,81.2500000,4
USDINR,D,20220926,000000,81.2500000,81.7010000,81.2500000,81.6100000,5824
USDINR,D,20220927,000000,81.3880000,81.7720000,81.2770000,81.7070000,6214
USDINR,D,20220928,000000,81.7070000,82.0050000,81.3300000,81.4110000,5533
USDINR,D,20220929,000000,81.4110000,81.9430000,81.4110000,81.4710000,6454
USDINR,D,20220930,000000,81.4730000,81.7100000,81.1420000,81.5010000,6079
