<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,D,20220801,000000,61.2850000,64.0500000,59.5000000,60.7500000,1113
USDRUB,D,20220802,000000,61.6250000,62.1750000,57.7500000,59.3750000,1190
USDRUB,D,20220803,000000,59.7750000,63.3750000,59.7325000,60.8600000,518
USDRUB,D,20220804,000000,60.5000000,61.9940000,58.9250000,61.8456000,772
USDRUB,D,20220805,000000,60.9250000,61.1750000,59.8670000,60.5349000,1014
USDRUB,D,20220807,000000,60.5000000,60.5280000,60.4750000,60.5153000,42
USDRUB,D,20220808,000000,60.5223000,61.6750000,59.0000000,61.1250000,3348
USDRUB,D,20220809,000000,60.2350000,61.9250000,59.3750000,60.4649000,2059
USDRUB,D,20220810,000000,60.4675000,61.5500000,59.7250000,61.5024000,1295
USDRUB,D,20220811,000000,60.3850000,61.8020000,59.6000000,60.6188000,1117
USDRUB,D,20220812,000000,60.5965000,62.1500000,59.2500000,60.7500000,995
USDRUB,D,20220814,000000,60.7500000,61.5011000,60.7500000,61.5011000,22
USDRUB,D,20220815,000000,61.5500000,62.0000000,60.0000000,61.4846000,727
USDRUB,D,20220816,000000,60.0000000,61.6234000,59.6000000,61.4873000,1018
USDRUB,D,20220817,000000,60.5000000,61.3000000,59.2000000,60.4716000,1519
USDRUB,D,20220818,000000,59.2000000,60.8114000,58.6000000,59.9819000,1049
USDRUB,D,20220819,000000,58.7500000,59.7224000,57.7500000,58.7500000,1042
USDRUB,D,20220821,000000,58.7500000,59.4963000,58.7500000,59.4858000,15
USDRUB,D,20220822,000000,58.2500000,60.1750000,58.2500000,60.1236000,651
USDRUB,D,20220823,000000,59.5350000,60.3881000,58.0000000,59.5000000,628
USDRUB,D,20220824,000000,60.0000000,60.3620000,58.9500000,59.8105000,1106
USDRUB,D,20220825,000000,59.8185000,60.6250000,59.0000000,60.1500000,1014
USDRUB,D,20220826,000000,60.1500000,60.9250000,58.7500000,59.5500000,704
USDRUB,D,20220828,000000,59.5500000,60.2987000,59.5500000,60.2923000,20
USDRUB,D,20220829,000000,59.8750000,62.3000000,59.7495000,61.7500000,476
USDRUB,D,20220830,000000,60.2500000,61.3990000,59.2500000,59.9679000,939
USDRUB,D,20220831,000000,59.8750000,61.0200000,58.6250000,59.3750000,1008
USDRUB,D,20220901,000000,60.2057000,60.7500000,58.1700000,59.4600000,792
USDRUB,D,20220902,000000,59.2500000,61.4250000,59.1700000,60.2562000,680
USDRUB,D,20220904,000000,60.2350000,60.8000000,59.1700000,60.2988000,41
USDRUB,D,20220905,000000,60.2274000,62.5330000,59.1700000,60.9478000,911
USDRUB,D,20220906,000000,60.5050000,61.6750000,59.9000000,61.2743000,1004
USDRUB,D,20220907,000000,60.7500000,62.2850000,59.6850000,62.2850000,1157
USDRUB,D,20220908,000000,61.7345000,61.7345000,59.5500000,61.4778000,1112
USDRUB,D,20220909,000000,60.0000000,60.8750000,59.0000000,59.7800000,1003
USDRUB,D,20220911,000000,59.7850000,60.5000000,59.7850000,60.0713000,9
USDRUB,D,20220912,000000,60.8000000,61.3250000,59.2000000,59.3200000,1001
USDRUB,D,20220913,000000,60.0700000,61.7350000,58.4500000,61.7350000,1404
USDRUB,D,20220914,000000,59.9500000,61.8600000,58.5250000,59.7118000,1343
USDRUB,D,20220915,000000,59.7130000,60.5250000,58.8500000,59.6139000,2420
USDRUB,D,20220916,000000,59.6187000,60.8000000,59.1250000,59.7500000,1451
USDRUB,D,20220919,000000,60.0850000,60.9620000,59.2750000,60.0700000,1675
USDRUB,D,20220920,000000,60.0637000,61.9250000,58.9750000,61.4148000,1124
USDRUB,D,20220921,000000,60.6500000,62.5500000,59.8000000,61.5692000,1282
USDRUB,D,20220922,000000,60.1000000,61.1102000,58.2500000,59.8969000,1379
USDRUB,D,20220923,000000,58.9000000,60.2350000,55.6750000,56.8700000,685
USDRUB,D,20220925,000000,57.0510000,57.0510000,56.0000000,56.5000000,6
