<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDSGD,D,20220801,000000,1.3819700,1.3825200,1.3753000,1.3766300,931709
USDSGD,D,20220802,000000,1.3766100,1.3842000,1.3754000,1.3839200,1044123
USDSGD,D,20220803,000000,1.3840200,1.3847000,1.3791900,1.3807200,962406
USDSGD,D,20220804,000000,1.3807700,1.3809300,1.3749600,1.3752600,802801
USDSGD,D,20220805,000000,1.3752700,1.3832000,1.3745500,1.3802000,849065
USDSGD,D,20220807,000000,1.3812000,1.3822400,1.3804100,1.3818500,25886
USDSGD,D,20220808,000000,1.3817700,1.3832000,1.3768100,1.3782000,604991
USDSGD,D,20220809,000000,1.3782200,1.3795000,1.3767000,1.3787900,608581
USDSGD,D,20220810,000000,1.3788200,1.3798000,1.3676000,1.3694200,729199
USDSGD,D,20220811,000000,1.3697200,1.3727000,1.3663000,1.3698800,845709
USDSGD,D,20220812,000000,1.3698700,1.3724000,1.3687000,1.3711000,708751
USDSGD,D,20220814,000000,1.3711000,1.3717000,1.3702500,1.3709900,22910
USDSGD,D,20220815,000000,1.3709900,1.3792000,1.3699000,1.3782000,707772
USDSGD,D,20220816,000000,1.3782800,1.3807300,1.3765000,1.3785900,754916
USDSGD,D,20220817,000000,1.3785900,1.3843000,1.3774000,1.3818100,936898
USDSGD,D,20220818,000000,1.3817500,1.3865000,1.3798800,1.3855200,828553
USDSGD,D,20220819,000000,1.3855300,1.3923200,1.3852000,1.3912000,829243
USDSGD,D,20220821,000000,1.3912000,1.3928200,1.3895000,1.3924700,20925
USDSGD,D,20220822,000000,1.3924700,1.3990000,1.3923000,1.3973500,776984
USDSGD,D,20220823,000000,1.3973300,1.4002300,1.3889000,1.3928000,954132
USDSGD,D,20220824,000000,1.3927100,1.3967500,1.3922000,1.3941100,914359
USDSGD,D,20220825,000000,1.3940300,1.3946000,1.3879900,1.3892000,919070
USDSGD,D,20220826,000000,1.3891600,1.3949800,1.3863000,1.3933500,1056904
USDSGD,D,20220828,000000,1.3934000,1.3978700,1.3934000,1.3973800,33263
USDSGD,D,20220829,000000,1.3973800,1.4005300,1.3938000,1.3952600,1084937
USDSGD,D,20220830,000000,1.3952600,1.3990200,1.3940000,1.3978300,1046633
USDSGD,D,20220831,000000,1.3977700,1.3992200,1.3935000,1.3985800,1065106
USDSGD,D,20220901,000000,1.3985000,1.4032000,1.3976000,1.4015600,1019249
USDSGD,D,20220902,000000,1.4015000,1.4032200,1.3983000,1.4017900,1002626
USDSGD,D,20220904,000000,1.4013000,1.4034000,1.3998900,1.4033400,29318
USDSGD,D,20220905,000000,1.4033400,1.4062400,1.4018000,1.4021700,731314
USDSGD,D,20220906,000000,1.4021700,1.4079900,1.4003700,1.4070100,1048569
USDSGD,D,20220907,000000,1.4070100,1.4107000,1.4034500,1.4050400,1081191
USDSGD,D,20220908,000000,1.4050600,1.4082800,1.4030900,1.4038700,1159923
USDSGD,D,20220909,000000,1.4038700,1.4041100,1.3958800,1.3984000,1177191
USDSGD,D,20220911,000000,1.3977800,1.3988800,1.3963000,1.3983200,31303
USDSGD,D,20220912,000000,1.3983500,1.3997900,1.3946000,1.3956600,906368
USDSGD,D,20220913,000000,1.3957400,1.4070000,1.3935100,1.4061800,1092005
USDSGD,D,20220914,000000,1.4061800,1.4069100,1.4025000,1.4052900,1048288
USDSGD,D,20220915,000000,1.4052100,1.4096400,1.4046000,1.4095300,1047152
USDSGD,D,20220916,000000,1.4095500,1.4114000,1.4052400,1.4055000,908720
USDSGD,D,20220918,000000,1.4055000,1.4087400,1.4055000,1.4059600,44803
USDSGD,D,20220919,000000,1.4059200,1.4109000,1.4054000,1.4073700,979047
USDSGD,D,20220920,000000,1.4073800,1.4111000,1.4063000,1.4101700,999413
USDSGD,D,20220921,000000,1.4101400,1.4193600,1.4095000,1.4187000,1613107
USDSGD,D,20220922,000000,1.4186800,1.4222300,1.4144000,1.4179500,1603018
USDSGD,D,20220923,000000,1.4179500,1.4315000,1.4173000,1.4310900,1460219
USDSGD,D,20220925,000000,1.4308000,1.4327100,1.4284500,1.4299200,62199
USDSGD,D,20220926,000000,1.4300000,1.4392100,1.4292700,1.4363400,1552031
USDSGD,D,20220927,000000,1.4362500,1.4404100,1.4339000,1.4386600,1268897
USDSGD,D,20220928,000000,1.4386600,1.4492000,1.4324600,1.4365700,1730742
USDSGD,D,20220929,000000,1.4365500,1.4440400,1.4305900,1.4312100,1684608
USDSGD,D,20220930,000000,1.4312100,1.4366500,1.4294800,1.4349500,1450159
USDSGD,D,20221002,000000,1.4348000,1.4361000,1.4336200,1.4356600,45163
USDSGD,D,20221003,000000,1.4356700,1.4375200,1.4290600,1.4302500,1462253
USDSGD,D,20221004,000000,1.4302600,1.4323100,1.4214300,1.4228300,1115178
USDSGD,D,20221005,000000,1.4228200,1.4298300,1.4195000,1.4223300,1217856
USDSGD,D,20221006,000000,1.4224200,1.4299000,1.4198000,1.4293900,1164866
USDSGD,D,20221007,000000,1.4293900,1.4342100,1.4274700,1.4329000,1300655
USDSGD,D,20221009,000000,1.4329000,1.4354500,1.4308800,1.4346200,27304
USDSGD,D,20221010,000000,1.4346200,1.4386100,1.4324900,1.4369800,988661
USDSGD,D,20221011,000000,1.4369800,1.4411100,1.4324900,1.4384200,1401995
USDSGD,D,20221012,000000,1.4384500,1.4413000,1.4336900,1.4348100,793825
USDSGD,D,20221013,000000,1.4348800,1.4396800,1.4294000,1.4308900,1304242
